Country,Network,Price,MCC/MNC
India,"BPL Mobile Communications Ltd Kerala (Loop Mobile)",0.0100,405/863
India,"BPL Mobile Communications Ltd Maharashtra (Loop Mobile - Maharashta)",0.0100,405/866
India,"BPL Mobile Communications Ltd Mumbai (BPL  MOBILE)",0.0100,404/21
India,"BPL Mobile Communications Ltd TamilNadu (BPL MOBILE)",0.0100,404/43
India,"Bharat Sanchar Nigam Limited (CellOne Andhra Pradesh)",0.0100,404/73
India,"Bharat Sanchar Nigam Limited Assam (CellOne Assam)",0.0100,404/38
India,"Bharat Sanchar Nigam Limited Bihar & Jharkhand (CellOne Bihar)",0.0100,404/75
India,"Bharat Sanchar Nigam Limited Chennai (CellOne Chennai)",0.0100,404/64
India,"Bharat Sanchar Nigam Limited Gujarat (CellOne Gujarat)",0.0100,404/57
India,"Bharat Sanchar Nigam Limited Haryana (CellOne Haryana)",0.0100,404/34
India,"Bharat Sanchar Nigam Limited Himachal Pradesh (CellOne Bihar)",0.0100,404/51
India,"Bharat Sanchar Nigam Limited Jammu & Kashmir (CellOne Jammu & Kashmir)",0.0100,404/62
India,"Bharat Sanchar Nigam Limited Karnataka (CellOne Karnataka)",0.0100,404/71
India,"Bharat Sanchar Nigam Limited Kerala (CellOne Kerala)",0.0100,404/72
India,"Bharat Sanchar Nigam Limited Kolkata (CellOne Kolkata)",0.0100,404/81
India,"Bharat Sanchar Nigam Limited Madhya Pradesh (CellOne Madhya Pradesh)",0.0100,404/58
India,"Bharat Sanchar Nigam Limited Maharashtra (Bharat Sanchar Nigam Limited)",0.0100,404/66
India,"Bharat Sanchar Nigam Limited North East India (CellOne North East)",0.0100,404/77
India,"Bharat Sanchar Nigam Limited Orissa (CellOne Orissa)",0.0100,404/76
India,"Bharat Sanchar Nigam Limited Punjab (CellOne Bihar)",0.0100,404/53
India,"Bharat Sanchar Nigam Limited Rajasthan (CellOne Rajasthan)",0.0100,404/59
India,"Bharat Sanchar Nigam Limited TamilNadu (CellOne Tamil Nadu)",0.0100,404/80
India,"Bharat Sanchar Nigam Limited Uttar Pradesh East (CellOne Bihar)",0.0100,404/55
India,"Bharat Sanchar Nigam Limited Uttar Pradesh(West) (Bharat Sanchar Nigam Limited)",0.0100,404/54
India,"Bharat Sanchar Nigam Limited West Bengal & Andaman&Nicobar I (CellOne A&N)",0.0100,"404/79, 404/74"
India,"Bharti Airtel Assam (Bharti Airtel)",0.0100,405/56
India,"Bharti Airtel Jammu & Kashmir (Bharti Airtel)",0.0100,405/55
India,"Bharti Airtel Ltd (Bharti Airtel Orissa)",0.0100,405/53
India,"Bharti Airtel Orissa (Airtel Orissa)",0.0100,404/153
India,"Bharti Airtel West Bengal & Andaman&Nicobar Islands (Bharti Airtel)",0.0100,404/151
India,"Bharti Hexacom Ltd Rajasthan (AIRTEL)",0.0100,404/70
India,"Bharti Televentures Limited (Airtel)",0.0100,404/45
India,"Bharti Televentures Limited Andhra Pradesh (AirTel)",0.0100,404/49
India,"Bharti Televentures Limited Bihar & Jharkhand (AirTel)",0.0100,405/52
India,"Bharti Televentures Limited Chennai (AirTel)",0.0100,404/40
India,"Bharti Televentures Limited Delhi (AirTel)",0.0100,404/10
India,"Bharti Televentures Limited Gujarat (AirTel)",0.0100,404/98
India,"Bharti Televentures Limited Haryana (AirTel)",0.0100,404/96
India,"Bharti Televentures Limited Himachal Pradesh (AirTel)",0.0100,404/03
India,"Bharti Televentures Limited Karnataka (AirTel)",0.0100,404/06
India,"Bharti Televentures Limited Kerala (AirTel)",0.0100,404/95
India,"Bharti Televentures Limited Kolkata (AirTel)",0.0100,404/31
India,"Bharti Televentures Limited Madhya Pradesh (AirTel)",0.0100,404/93
India,"Bharti Televentures Limited Maharashtra (AirTel)",0.0100,404/90
India,"Bharti Televentures Limited Mumbai (AirTel)",0.0100,404/92
India,"Bharti Televentures Limited North East India (AirTel)",0.0100,404/16
India,"Bharti Televentures Limited Punjab (AirTel)",0.0100,404/02
India,"Bharti Televentures Limited TamilNadu (AirTel)",0.0100,404/94
India,"Bharti Televentures Limited Uttar Pradesh (AirTel)",0.0100,404/97
India,"Bharti Televentures Limited Uttar Pradesh East (AirTel)",0.0100,405/54
India,"Dishnet Wireless Limited (Aircel Punjab)",0.0100,405/812
India,"Dishnet Wireless Limited Assam (Aircel)",0.0100,404/29
India,"Dishnet Wireless Limited Bihar & Jharkhand (Aircel)",0.0100,404/25
India,"Dishnet Wireless Limited Himachal Pradesh (Aircel)",0.0100,404/35
India,"Dishnet Wireless Limited Jammu & Kashmir (Aircel)",0.0100,404/37
India,"Dishnet Wireless Limited Kolkata (Aircel)",0.0100,404/91
India,"Dishnet Wireless Limited North East India (Aircel)",0.0100,404/33
India,"Dishnet Wireless Limited Orissa (Aircel Orissa)",0.0100,404/28
India,"Dishnet Wireless Limited West Bengal & Andaman&Nicobar Islan (Aircel)",0.0100,404/17
India,"Etisalat DB AP (Etisalat - Andhra Pradesh)",0.0100,405/912
India,"Etisalat DelhiNCR (Etisalat - Delhi)",0.0100,405/913
India,"Etisalat Gujarat (Etisalat - Gujarat)",0.0100,405/914
India,"Etisalat Kerala (Etisalat - Kerala)",0.0100,405/917
India,"Fascel Limited Gujarat (Hutch-Gujarat)",0.0100,404/05
India,"HFCL Punjab (HFCL Connect (Ping))",0.0100,405/24
India,"Hutchison Essar Limited Mumbai (HUTCH)",0.0100,404/20
India,"Hutchison Essar Limited Uttar Pradesh (HUTCH)",0.0100,405/66
India,"Hutchison Essar Mobile Services Limited Delhi (Hutch-Delhi)",0.0100,404/11
India,"Hutchison Essar South Limited Andhra Pradesh (Hutch-Andhra Pradesh)",0.0100,404/13
India,"Hutchison Essar South Limited Chennai (Hutch-Chennai)",0.0100,404/84
India,"Hutchison Essar South Limited Karnataka (Hutch-Karnataka)",0.0100,404/86
India,"Hutchison Essar South Limited Punjab (Hutch-Punjab)",0.0100,404/88
India,"Hutchison Essar South Limited West Bengal & Andaman&Nicobar (Hutch)",0.0100,405/67
India,"Hutchison Kerala (Vodafone Kerala)",0.0100,404/46
India,"Hutchison Maharashta (Vodafone Maharashta)",0.0100,404/27
India,"Hutchison Telecom East Limited Kolkata (Hutch-Kolkata)",0.0100,404/30
India,"IDEA Cellular Assam (IDEA - Assam)",0.0100,405/845
India,"IDEA Cellular B&J (IDEA - Bihar & Jharkhand)",0.0100,405/70
India,"IDEA Cellular Limited Andhra Pradesh (IDEA Cellular Limited - Andhra Pradesh)",0.0100,404/07
India,"IDEA Cellular Limited Delhi (IDEA CELLULAR LIMITED - Delhi)",0.0100,404/04
India,"IDEA Cellular Limited Gujarat (IDEA Cellular Limited - Gujarat)",0.0100,404/24
India,"IDEA Cellular Limited Himachal Pradesh (IDEA Cellular Limited)",0.0100,404/82
India,"IDEA Cellular Limited Madhya Pradesh (IDEA Cellular Limited - Madhya Pradesh)",0.0100,404/78
India,"IDEA Cellular Limited Maharashtra (IDEA Cellular Limited - Maharashtra)",0.0100,404/22
India,"IDEA Cellular Limited Mumbai (IDEA Cellular Limited Mumbai)",0.0100,405/799
India,"IDEA Cellular Limited Rajasthan (IDEA Cellular Limited)",0.0100,404/87
India,"IDEA Cellular Limited Uttar Pradesh East (IDEA Cellular Limited)",0.0100,404/89
India,"IDEA Orissa (IDEA - Orissa)",0.0100,405/850
India,"IDEACellular Kolkata (IDEA - Kolkata)",0.0100,405/848
India,"Idea (Escotel) UP West (Idea (Escotel) UP West)",0.0100,404/56
India,"Idea Mobile Communications Haryana (Idea (Escotel) Haryana)",0.0100,404/12
India,"Idea Mobile Communications Kerala (Idea (Escotel) Kerala)",0.0100,404/19
India,"India - Other",0.0100,
India,"Madhya Pradesh VD (DSPL - Madhya Pradesh)",0.0100,405/834
India,"Mahanagar Telephone Nigam Ltd Delhi (Mahanagar Telephone Nigam Ltd)",0.0100,404/68
India,"Mahanagar Telephone Nigam Ltd Mumbai (Mahanagar Telephone Nigam Ltd)",0.0100,404/69
India,"Reliance Andhra Prad (Reliance - Andhra Pradesh)",0.0100,405/01
India,"Reliance Bihar (Reliance - CDMA - Bahir & Jharkhand)",0.0100,405/03
India,"Reliance Chennai (Reliance CDMA)",0.0100,405/04
India,"Reliance Communications Limited Gujarat (Reliance Telecom)",0.0100,"405/06, 405/060"
India,"Reliance Communications Limited Jammu & Kashmir (Reliance Telecom)",0.0100,405/09
India,"Reliance Communications Limited Mumbai (Reliance Telecom)",0.0100,405/15
India,"Reliance Communications Limited Punjab (Reliance Punjab)",0.0100,405/18
India,"Reliance Communications Limited Rajasthan (Reliance)",0.0100,"405/19, 404/00"
India,"Reliance Delhi (Reliance - Delhi)",0.0100,405/05
India,"Reliance Haryana (Reliance - Haryana)",0.0100,405/07
India,"Reliance Kerala (Reliance - Kerala)",0.0100,405/11
India,"Reliance Maharashtra (Reliance - Maharashtra & Goa)",0.0100,405/13
India,"Reliance TamilNadu (Reliance - TamilNadu)",0.0100,405/20
India,"Reliance Telecom Assam (Reliance)",0.0100,404/09
India,"Reliance Telecom Bihar & Jharkhand (Reliance)",0.0100,404/36
India,"Reliance Telecom Himachal Pradesh (Reliance)",0.0100,404/18
India,"Reliance Telecom Karnataka (Reliance Karnataka)",0.0100,405/10
India,"Reliance Telecom Kolkata (Reliance)",0.0100,404/83
India,"Reliance Telecom Madhya Pradesh (Reliance Telecom)",0.0100,404/67
India,"Reliance Telecom North East India (Reliance)",0.0100,404/50
India,"Reliance Telecom Orissa (Reliance Telecom)",0.0100,404/52
India,"Reliance Telecom West Bengal & Andaman&Nicobar Islands (Reliance)",0.0100,404/85
India,"Reliance UP East (Reliance - Uttar Pradesh East)",0.0100,405/21
India,"Reliance UP West (Reliance - Uttar Pradesh West)",0.0100,405/22
India,"S Tel Assam (S. Tel - Assam)",0.0100,405/881
India,"SSTL Andhra Pradesh (SISTEMA Shyam Teleservices - Andhra Pradesh)",0.0100,405/887
India,"SSTL Assam (SISTEMA Shyam Teleservices - Assam)",0.0100,405/888
India,"SSTL Bihar (SISTEMA Shyam Teleservices - Bihar)",0.0100,405/889
India,"SSTL Delhi (SISTEMA Shyam Teleservices - Delhi)",0.0100,405/890
India,"SSTL Gujarat (SISTEMA Shayam Teleservices - Gujarat)",0.0100,405/891
India,"SSTL Haryana (SISTEMA Shayam Teleservices - Haryana)",0.0100,405/892
India,"SSTL HimachalPradesh (SISTEMA Shayam Teleservices - Himachal Pradesh)",0.0100,405/893
India,"SSTL Jammu Kashmir (SISTEMA Shayam Teleservices - Jammu & Kashmir)",0.0100,405/894
India,"SSTL Karnataka (SISTEMA Shayam Teleservices - Karnataka)",0.0100,405/895
India,"SSTL Kerala (SISTEMA Shayam Teleservices - Kerala)",0.0100,405/896
India,"SSTL Kolkata (SISTEMA Shayam Teleservices - Kolkata)",0.0100,405/897
India,"SSTL Madhya Pradesh (SISTEMA Shayam Teleservices - Madhya Pradesh)",0.0100,405/898
India,"SSTL Maharashtra (SISTEMA Shayam Teleservices - Maharashtra)",0.0100,405/899
India,"SSTL Mumbai (SISTEMA Shayam Teleservices - Mumbai)",0.0100,405/900
India,"SSTL North East (SISTEMA Shayam Teleservices - North East)",0.0100,405/901
India,"SSTL Orissa (SISTEMA Shayam Teleservices - Orissa)",0.0100,405/902
India,"SSTL Punjab (SISTEMA Shayam Teleservices - Punjab)",0.0100,405/903
India,"SSTL Tamilnadu (SISTEMA Shayam Teleservices - Tamil Nadu & Chennai)",0.0100,405/904
India,"SSTL UPradesh East (SISTEMA Shayam Teleservices - Uttar Pradesh East)",0.0100,405/905
India,"SSTL UPradesh West (SISTEMA Shayam Teleservices - Uttar Pradesh West)",0.0100,405/906
India,"SSTL West Bengal (SISTEMA Shayam Teleservices - West Bengal)",0.0100,405/907
India,"Spice Communications Limited Karnataka (Spice Telecom)",0.0100,404/44
India,"Spice Communications Limited Punjab (Spice Telecom)",0.0100,404/14
India,"TATA Assam (TATA Assam)",0.0100,405/26
India,"TATA Delhi (TATA Delhi)",0.0100,405/29
India,"TATA HimachalPradesh (TATA Docomo - Himachal Pradesh)",0.0100,405/32
India,"TATA Maharashtra (TATA Docomo - Maharashtra & Goa)",0.0100,405/37
India,"TATA North East (TATA North East)",0.0100,405/40
India,"TATA Rajasthan (TATA Docomo - Rajasthan)",0.0100,405/43
India,"TATA WestBengal (TATA Docomo - RO WB)",0.0100,405/47
India,"Tata Teleservices LTD  (Tata Teleservices Ltd Madhya Pradesh)",0.0100,405/038
India,"Tata Teleservices LTD (Tata Teleservices Ltd Kerala)",0.0100,405/035
India,"Tata Teleservices Limited (Tata Indicom (Mobile), Walky (WLL))",0.0100,
India,"Tata Teleservices Limited (Tata Indicom Gujarat)",0.0100,405/030
India,"Tata Teleservices Limited Bihar (Tata Teleservices Limited Bihar)",0.0100,405/027
India,"Tata Teleservices Limited Haryana (Tata Indicom Haryana)",0.0100,"405/031, 405/31"
India,"Tata Teleservices Limited Karnataka  (Tata Indicom Karnataka)",0.0100,"405/034, 405/34"
India,"Tata Teleservices Limited Maharastra (Tata Teleservices Limited Maharastra)",0.0100,405/037
India,"Tata Teleservices Limited Mumbai (Tata Teleservices Limited Mumbai)",0.0100,405/039
India,"Tata Teleservices Limited Orissa (Tata Teleservices Limited Orissa)",0.0100,405/041
India,"Tata Teleservices Limited Punjab (Tata Indicom Punjab)",0.0100,"405/42, 405/042"
India,"Tata Teleservices Limited Tamilnadu (Tata Teleservices Limited Tamilnadu)",0.0100,405/044
India,"Tata Teleservices Limited Uttar Pradesh East (Tata Teleservices UP East)",0.0100,405/045
India,"Tata Teleservices Limited Uttar Pradesh West (Tata Teleservices UP West)",0.0100,405/046
India,"Tata Teleservices Ltd (Tata Teleservices Ltd Kolkata)",0.0100,405/036
India,"Tata Teleservices Ltd Andhra Pradesh (Tata Indicom Andhra Pradesh)",0.0100,"405/25, 405/025"
India,"Uninor (Unitech Wireless Ltd)",0.0100,
India,"Voda HimachalPradesh (Vodafone - Himachal Pradesh)",0.0100,405/754
India,"Voda Madhya Pradesh (Vodafone - Madhya & Chattisgarh)",0.0100,405/756
India,"Vodafone Assam (Vodafone - Assam)",0.0100,405/751
India,"Vodafone Essar Spacetel Ltd (Vodafone Orissa)",0.0100,405/753
India,"Vodafone Essar Spacetel Ltd Bihar (Vodafone Spacetel Limited Bihar)",0.0100,405/752
India,"Vodafone North East (Vodafone - North East)",0.0100,405/755
India,"VodafoneJammuKashmir (Vodafone - Jammu & Kashmir)",0.0100,405/750
Indonesia,"Excelcom (XL)",0.02500,510/11
Indonesia,"Hutchison CP Telecommunications (3)",0.02500,510/89
Indonesia,"Indonesia - Other",0.0400,
Indonesia,"PT Indonesian Satellite Corporation Tbk (INDOSAT) (INDOSAT)",0.02500,"510/01, 510/21, 510/03"
Indonesia,"PT Telekomunikasi Selular (TELKOMSEL)",0.02500,"510/10, 510/07"
Indonesia,"PT. AXIS Telekom Indonesia (AXIS)",0.02500,510/08
Indonesia,"PT. Smartfren Telecom Tbk. (PT Mobile-8 Telekom Tbk)",0.02500,"510/28, 510/09"
Indonesia,"Sampoerna Telekomunikasi Indonesia (Ceria STI)",0.02500,510/27
Iran,"Irancell Telecommunications Services Company (MTN Irancell )",0.01600,432/35
Iran,"KFZO (TKC)",0.01300,432/14
Iran,"MCI (MCI)",0.02000,432/11
Iran,"Mobile Telecommunications Company of Esfahan (MTCE)",0.02000,432/19
Iran,"Rafsanjan Industrial Complex (Coop) (Taliya)",0.02000,432/32
Iran,"Social Security Investment Company (Rightel)",0.02000,432/20
Iraq,"Asiacell Communications LLC (Asiacell)",0.05800,"418/00, 418/05"
Iraq,"Atheer Telecom Iraq (Zain Iraq)",0.04500,"418/20, 418/30"
Iraq,"Iraq - Other",0.0580,
Iraq,"Korek Telecom Ltd (Korek Telecom)",0.05100,418/40
Iraq,"Mobitel (Mobitel)",0.05000,418/45
Iraq,"SanaTel (SanaTel)",0.06923,"418/08, 418/02"
Ireland,"Hutchison 3G Ireland limited (Hutchison 3G Ireland)",0.05000,"272/05, 272/07, 272/16, 272/15"
Ireland,"Ireland - Other",0.0500,
Ireland,"Liffey Telecom Ltd (Liffey)",0.05000,272/11
Ireland,"Meteor Mobile Telecommunications Limited (Meteor)",0.05000,272/03
Ireland,"O2 Communications (Ireland) Ltd (O2 Communications (Ireland))",0.05000,"272/02, 272/13"
Ireland,"Vodafone Ireland Ltd. (vodafone)",0.05000,272/01
Israel,"Cellcom Israel Ltd (Cellcom Israel)",0.01300,"425/02, 425/15"
Israel,"Golan Telecom (Golan Telecom)",0.01300,425/08
Israel,"Hot Mobile Ltd (Hot Mobile)",0.01600,425/07
Israel,"Israel - Other",0.0100,
Israel,"Palestine Telecomm Co Ltd (Palestine Telecommunications Co. P.L.C)",0.05500,425/05
Israel,"Partner Communications Company Ltd (Orange)",0.01300,"425/01, 425/19"
Israel,"Pelephone Communications Ltd (Pelephone)",0.05300,"425/03, 425/16, 425/14"
Israel,"Wataniya Palestine Mobile Telecommunications Company (Wataniya)",0.05300,425/06
Italy,"H3G S.p.A (H3G)",0.05300,"222/37, 222/99"
Italy,"Italy - Other",0.0530,
Italy,"Lycamobile (Lycamobile IT)",0.05300,222/35
Italy,"PosteMobile (PosteMobile IT )",0.0530,222/33
Italy,"Telecom Italia SpA (TIM)",0.05300,"222/01, 222/34, 222/43, 222/48"
Italy,"Vodafone Omnitel N.V. (vodafone)",0.05300,"222/06, 222/10"
Italy,"Wind Telecomunicazioni SpA (Wind Telecomunicazioni SpA)",0.05300,222/88
"Ivory Coast","Atlantique Telecom Cote d'Ivoire  (ETISALAT)",0.03800,612/02
"Ivory Coast","Comium Ivory Coast Inc (KOZ)",0.03500,612/04
"Ivory Coast","MTN CÃTE DâIVOIRE S.A. (MTN)",0.05000,612/05
"Ivory Coast","Orange CI (Orange CI)",0.07000,612/03
"Ivory Coast","Oricel (Oricel)",0.03500,612/06
Jamaica,"Cable & Wireless Jamaica Limited (LIME)",0.03000,"338/18, 338/180, 338/20"
Jamaica,"Digicel (Jamaica) Limited (Digicel Jamaica)",0.03700,"338/05, 338/50, 338/050"
Japan,"KDDI Corporation (KDDI)",0.06500,"440/75, 440/70, 440/80, 440/51, 440/54"
Japan,"NTT DoCoMo Inc (DOCOMO)",0.06500,440/10
Japan,"SoftBank Mobile Corp. (SoftBank)",0.06500,"440/20, 440/04, 440/92, 441/64"
Japan,"eAccess Ltd (EMOBILE)",0.03000,440/00
Jordan,"Jordan Telecom Group (Orange Jordan)",0.04500,416/77
Jordan,"Umniah Mobile Company (Umniah)",0.06500,416/03
Jordan,"Zain Jordan (zain JO)",0.05500,416/01
Kazakhstan,"Altel (Altel)",0.03000,401/07
Kazakhstan,"Kar-Tel LLP (Beeline)",0.03000,401/01
Kazakhstan,"Kcell JSC (KCELL)",0.05000,401/02
Kazakhstan,"Mobile Telecom Service LLP (MTS)",0.03000,401/77
Kenya,"Airtel Networks Kenya Limited  (Airtel Kenya)",0.06000,639/03
Kenya,"Essar Telecom Kenya Limited (Econet Wireless Kenya Limited)",0.04455,639/05
Kenya,"Safaricom Limited (Safaricom)",0.01600,639/02
Kenya,"Telkom Kenya Limited (Orange Kenya)",0.02000,639/07
Kosovo,"Monaco Telecom (Kosovo) (Vala)",0.05300,212/01
Kuwait,"Kuwait Telecom Company (VIVA KUWAIT)",0.03000,419/04
Kuwait,"Mobile Telecommunications Co. (zain KW)",0.05000,419/02
Kuwait,"National Mobile Telecommunications Co. (Wataniya Ooredoo Telecom)",0.03000,419/03
Kyrgyzstan,"Beeline (Sky Mobile LLC)",0.01300,437/01
Kyrgyzstan,"MegaCom (Alfa Telecom CJSC)",0.02100,437/05
Kyrgyzstan,"O! (NurTelecom LLC)",0.05600,437/09
Laos,"Lao Telecom (LaoTel)",0.03600,457/01
Laos,"Star Telecom (Unitel)",0.00700,457/03
Laos,"VimpelCom Lao, Ltd (LAO) (Beeline )",0.00700,457/08
Latvia,"Latvia - Other",0.0380,
Latvia,"Latvijas Mobilais Telefons (LMT)",0.03800,247/01
Latvia,"SIA Bite Latvija (Bite Latvija)",0.03800,"247/05, 247/08, 247/09"
Latvia,"TELE2 (TELE2)",0.03800,247/02
Latvia,"Talkpoint (Talkpoint)",0.0380,
Latvia,"Triatel (Triatel)",0.03800,247/03
Lebanon,"MIC 1 (Alfa)",0.02000,"415/01, 415/34"
Lebanon,"MIC 2 (MTC-Touch)",0.02000,"415/03, 415/37"
Lesotho,"Econet Telecom Lesotho (Pty) Ltd (ETL) (Econet Telecom Lesotho (Pty) Ltd))",0.07500,651/02
Lesotho,"Vodacom Lesotho (Pty) Ltd (VODACOM LESOTHO)",0.01300,651/01
Liberia,"Cellcom Telecommunications Inc (Cellcom)",0.01600,"618/03, 618/07"
Liberia,"Comium Liberia Inc (Comium Liberia)",0.01300,618/04
Liberia,"Lonestar Communications Corporation (Lonestar Cell)",0.05500,618/01
Libya,"AL MADAR AL JADID (MADAR)",0.00900,606/01
Libya,"Libyana Mobile Phone (Libyana Mobile Phone)",0.04725,606/00
Liechtenstein,"Mobilkom (Liechtenstein) AG (FL1)",0.01400,295/05
Liechtenstein,"Orange (Liechtenstein) AG (Orange FL)",0.01300,295/02
Liechtenstein,"Swisscom (Switzerland) Ltd (Liechtenstein) (Swisscom)",0.01300,295/01
Lithuania,"Lithuania - Other",0.0190,
Lithuania,"OMNITEL (OMNITEL)",0.01900,246/01
Lithuania,"UAB Bite Lietuva (BITE GSM)",0.01900,246/02
Lithuania,"UAB TELE2 (TELE2)",0.03000,246/03
Luxembourg,"Luxembourg - Other",0.0100,
Luxembourg,"Orange Communications Luxembourg S.A.  (Orange)",0.01300,270/99
Luxembourg,"P & T Luxembourg (LUXGSM)",0.01300,270/01
Luxembourg,"Tango SA (TANGO)",0.01300,270/77
Macau,"CTM (CTM)",0.01300,"455/01, 455/04"
Macau,"China Telecom (Macau) Company Limited (China Telecom)",0.01800,455/02
Macau,"Hutchison Telephone (Macau) Company Ltd (3 Macau)",0.01300,"455/03, 455/05"
Macau,"SmarTone Mobile Communications (Macau) Ltd (SmarTone)",0.01300,455/00
Macedonia,"Macedonia - Other",0.0340,
Macedonia,"ONE Telecommunications Service DOOEL Skopje (ONE)",0.03400,294/02
Macedonia,"T-Mobile Macedonia (T-Mobile Macedonia)",0.03400,294/01
Macedonia,"VIP OPERATOR DOOEL Skopje (VIP MKD)",0.03400,294/03
Madagascar,"Airtel Madagascar  (Airtel)",0.01000,646/01
Madagascar,"Madagascar SMM (Sacel)",0.01200,646/03
Madagascar,"Orange Madagascar S.A. (Orange Madagascar)",0.02500,646/02
Madagascar,"Telma Mobile SA (Telma Mobile)",0.01000,646/04
Malawi,"Airtel Malawi Limited (Airtel Malawi)",0.02500,650/10
Malawi,"Telekom Networks Malawi Ltd (TNM)",0.03240,650/01
Malaysia,"Celcom Axiata Berhad  (CELCOM GSM)",0.02800,"502/19, 502/13"
Malaysia,"DiGi Telecommunications Sdn Bhd (DiGi)",0.02800,"502/16, 502/10"
Malaysia,"Malaysia - Other",0.0280,
Malaysia,"Maxis Communications Berhad (MMS & MB)",0.02800,"502/12, 502/17"
Malaysia,"Packet One Network Sdn Bhd (P1)",0.0280,502/153
Malaysia,"Talk Focus Sdn Bhd (Talk Focus)",0.02500,502/154
Malaysia,"Tune Talk Sdn Bhd (Tune Talk)",0.02800,502/150
Malaysia,"U Mobile Sdn. Bhd. (U Mobile)",0.02800,502/18
Malaysia,"Yes 4G MY (YTL Communications Sdn Bhd)",0.02800,502/152
Maldives,"Dhivehi Raajjeyge Gulhun Private Ltd (Dhiraagu)",0.01300,472/01
Maldives,"Wataniya Telecom Maldives Pvt. Ltd (WMOBILE)",0.01300,472/02
Mali,"Malitel SA (MALITEL)",0.07100,610/01
Mali,"Orange Mali SA (Orange MALI)",0.09000,610/02
Malta,"Malta - Other",0.0240,
Malta,"Melita Mobile Ltd. (Telecoms Malta)",0.01300,278/77
Malta,"Mobisle Communications Limited (go mobile)",0.01300,278/21
Malta,"Vodafone Malta Limited (vodafone)",0.02600,278/01
Mauritania,"Chinguitel S.A. (Chinguitel)",0.03000,609/02
Mauritania,"MATTEL (MATTEL)",0.11000,609/01
Mauritania,"MAURITEL MOBILES (MAURITEL)",0.02700,609/10
Mauritius,"Cellplus Mobile Communications Ltd. (ORANGE MRU)",0.07500,617/01
Mauritius,"Emtel Ltd (EMTEL)",0.08500,617/10
Mauritius,"Mahanagar Telecom (Mauritius) Ltd (MTML)",0.06000,"617/03, 617/02"
Mexico,"Axtel, S.A. De C.V. (Axtel)",0.03000,"334/00, 334/155"
Mexico,"Iusacell Pcs S.A. De C.V. (Iusacell)",0.03000,"334/50, 334/050, 334/04, 334/070, 334/080"
Mexico,"Mexico - Other",0.0300,
Mexico,"NII Digital, S. de R.L. de C.V.  (Nextel)",0.03000,"334/010, 334/090"
Mexico,"Pegaso Comunicaciones y Sistemas S.A. De C.V (Movistar)",0.03000,"334/03, 334/030"
